titre,type,annee,realisateur,description
Afrique-sur-Seine,Film,1955,Paulin Soumanou Vieyra,Premier film africain réalisé par des étudiants sénégalais à Paris
Borom Sarret,Film,1963,Ousmane Sembène,Histoire d’un charretier pauvre dans les rues de Dakar
La Noire de...,Film,1966,Ousmane Sembène,Une jeune sénégalaise travaille pour une famille française et subit le racisme
Mandabi,Film,1968,Ousmane Sembène,Un homme analphabète tente d’encaisser un mandat postal
Touki Bouki,Film,1973,Djibril Diop Mambéty,Deux jeunes rêvent de quitter Dakar pour Paris
Xala,Film,1975,Ousmane Sembène,Un homme riche devient impuissant le jour de son mariage
Ceddo,Film,1977,Ousmane Sembène,Conflit entre tradition africaine et religion imposée
Camp de Thiaroye,Film,1988,Ousmane Sembène,Massacre de tirailleurs africains après la guerre
Hyènes,Film,1992,Djibril Diop Mambéty,Une femme riche revient se venger de son village
Guelwaar,Film,1992,Ousmane Sembène,Satyre sur l’aide internationale et la religion
Faat Kiné,Film,2000,Ousmane Sembène,Portrait d’une femme indépendante sénégalaise
Moolaadé,Film,2004,Ousmane Sembène,Lutte contre l’excision dans un village africain
The Pirogue,Film,2012,Moussa Touré,Des migrants tentent de rejoindre l’Europe en pirogue
Atlantics,Film,2019,Mati Diop,Histoire d’amour et migration avec une touche fantastique
Saloum,Film,2021,Jean Luc Herbulot,Thriller mystique dans le delta du Saloum
Banel & Adama,Film,2023,Ramata-Toulaye Sy,Amour tragique dans un village isolé
Terranga,Série,2019,Kalista Sy,Vie quotidienne et relations dans une famille sénégalaise
Bété Bété,Série,2021,Evenprod,Histoire de traditions et conflits familiaux
Baabel,Série,2022,Marodi TV,Série dramatique sur pouvoir et secrets
Pod et Marichou,Série,2018,Marodi TV,Romance moderne entre jeunes dakarois
Wiri Wiri,Série,2017,Evenprod,Comédie familiale très populaire au Sénégal
Infidèles,Série,2020,Evenprod,Drames conjugaux et relations complexes
Déchéances,Série,2019,Evenprod,Chute sociale d’une femme riche
Adja,Série,2021,Marodi TV,Histoire d’une jeune femme ambitieuse
Cœurs Brisés,Série,2020,Evenprod,Histoires d’amour et trahison
Sakho et Mangane,Série,2019,Canal+,Série policière avec enquêteurs à Dakar
Graine du Pouvoir,Série,2020,Marodi TV,Intrigues politiques et pouvoir
Famille Sénégalaise,Série,2018,RTS,Chronique familiale humoristique
Salma,Série,2022,Marodi TV,Drame social autour d’une femme courageuse
Muñel,Série,2023,Evenprod,Série dramatique sur résilience féminine
